stage,type,winner_country,wins,flat_cobble,flat,high_mountain,hilly,individual_time_trial,intermediate,medium_mountain,mountain,mountain_time_trial,plain,plain_with_cobble,stage_with_mountain,team_time_trial,transition
9,Plain stage,FRA,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Stage with mountain,FRA,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,Stage with mountain,FRA,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Plain stage,BEL,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Stage with mountain,BEL,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Stage with mountain,FRA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Stage with mountain,ITA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Stage with mountain,FRA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Plain stage,FRA,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Plain stage,FRA,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Plain stage,BEL,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Plain stage,FRA,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Stage with mountain,FRA,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Plain stage,FRA,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Plain stage,BEL,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Plain stage,FRA,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Plain stage,FRA,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Plain stage,FRA,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Plain stage,BEL,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Plain stage,BEL,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Stage with mountain,FRA,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Stage with mountain,FRA,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Plain stage,FRA,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Plain stage,FRA,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Plain stage,FRA,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Plain stage,FRA,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,Plain stage,FRA,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Plain stage,BEL,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Plain stage,FRA,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Plain stage,FRA,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Plain stage,FRA,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Plain stage,FRA,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,Plain stage,BEL,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
